Municipio,CodPonto,TipoRede,UGRHI,SEQID,SistHidrico,Coleta_Data,"1,1,1 - Tricloroetano","1,1,1,2 - Tetracloroetano","1,1,2 - Tricloroetano","1,1,2,2 - Tetracloroetano","1,1-Dicloro-1-Propeno","1,1-Dicloroetano","1,1-Dicloroeteno","1,2 Dicloroetano","1,2,3-Triclorobenzeno","1,2,3-Tricloropropano","1,2,4-Triclorobenzeno","1,2,4-Trimetilbenzeno","1,2-Dibromo-3-Cloropropano","1,2-Dibromoetano","1,2-Diclorobenzeno","1,2-Dicloropropano","1,3,5 Triclorobenzeno","1,3,5-Trimetilbenzeno","1,3-Diclorobenzeno","1,3-Dicloropropano","1,4-Diclorobenzeno",1-Cloro-2-Metilbenzeno,1-Cloro-4-Metilbenzeno,1-Metil-Naftaleno,"2,2-Dicloropropano",2-Clorotolueno,2-Metil-Naftaleno,4-Clorotolueno,Acenafteno,Acenaftileno,Alcalinidade Bicarbonato,Alcalinidade Carbonato,Alcalinidade Hidróxido,Alcalinidade Total,Alumínio Dissolvido,Alumínio Total,Antraceno,Arsênio Total,Benzeno,Benzo(a)antraceno,Benzo(a)pireno,Benzo(b)fluoranteno,"Benzo(g,h,i)perileno",Benzo(k)fluoranteno,Boro Total,Bromobenzeno,Bromoclorometano,Bromodiclorometano,Bromofórmio,Bário Total,Carbono Orgânico Dissolvido,Carbono Orgânico Total,Chumbo Total,Cilindrospermopsina,Cloreto Total,Cloreto de Metileno,Cloreto de vinila,Clorobenzeno,Cloroetano,Clorofila-a,Clorofórmio,Cobre Dissolvido,Cobre Total,Condutividade,Cor Verdadeira,Criseno,Crômio Total,Cádmio Total,Cálcio Total,"DBO (5, 20)",DQO,"Dibenzo(a,h)antraceno",Dibromoclorometano,Dibromometano,Dureza,Ens. Ecotoxic. c/ Vibrio fischeri,Escherichia coli**,Estireno,Etilbenzeno,Fenantreno,Fenóis Totais,Feofitina-a,Ferro Dissolvido,Ferro Total,Fluoranteno,Fluoreno,Fluoreto Total,Fósforo Total,Fósforo-Ortofosfato,Hexaclorobutadieno,"Indeno(1,2,3-cd)pireno",Isopropilbenzeno,Magnésio Total,Manganês Total,Mercúrio Total,Microcistinas,Naftaleno,Nitrogênio Amoniacal,Nitrogênio Kjeldahl,Nitrogênio-Nitrato,Nitrogênio-Nitrito,Níquel Total,Número de Células de Cianobactérias,Oxigênio Dissolvido,Pireno,Potencial de Formação de THM,Potássio,Profundidade da Coleta,Salinidade,Saxitoxina,Subst. Tensoat. reagem c/ Azul Metileno,Sulfato Total,Sódio,Sólido Dissolvido Total,Sólido Suspenso Total,Sólido Total,TA98 + S9,TA98 - S9,Temperatura da Água,Temperatura do Ar,Tetracloreto de Carbono,Tetracloroeteno,Tetracloroetileno,Tolueno,Tricloroeteno,Tricloroetileno,Triclorofluormetano,Turbidez,Zinco Total,"cis-1,2-Dicloroeteno","m,p-Xileno",n-Butilbenzeno,n-Propilbenzeno,o-Xileno,p-Isopropiltolueno,pH,sec-Butilbenzeno,terc-Butilbenzeno,"trans-1,2-Dicloroeteno",Óleos e Graxas
CUBATAO,CFUG02900,Rede Básica,07 - BAIXADA SANTISTA,208,Canal de Fuga II da UHE Henry Borden - CFUG,01/14/2016,2.5,2.5,10,2.5,2.5,2.5,5,5,2.5,10,5,2.5,,10,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,,,,,,0.02,,,,,43,0.05,0.055,0.02,0.01,2.5,0.02,0.01,0.02,0.08,0.01,,2.5,10,2.5,10,0.1,7.3,7.8,0.01,,12.5,2.5,2.5,2.5,,49.18,2.5,0.005,0.005,151,5,0.02,0.01,0.005,,5,,0.03,2.5,10,34.5,,12,5,2.5,0.02,0.003,2.46,0.05,0.141,0.02,0.02,,0.007,,5,0.08,2.5,,0.097,0.0002,0.72,0.03,1,3.7,0.2,0.014,0.01,243220,7.7,0.02,414,3.52,,1,0.16,0.08,,13.4,168,,186,,,25.9,26.8,2,2.5,,2,2.5,,,7.73,0.01,2.5,5,2.5,2.5,2.5,2.5,6.64,2.5,2.5,2.5,
CUBATAO,CFUG02900,Rede Básica,07 - BAIXADA SANTISTA,208,Canal de Fuga II da UHE Henry Borden - CFUG,03/30/2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.5,6.1,,,14,,,,,,,,,154,,,,,,5,,,,,,,41,,,,,,,,,,,0.018,,,,,,,,,,1,2.1,0.2,0.01,,,8,,,,,1,,,,,98,,104,,,23.7,26.4,,,,,,,,3.31,,,,,,,,7.28,,,,
CUBATAO,CFUG02900,Rede Básica,07 - BAIXADA SANTISTA,208,Canal de Fuga II da UHE Henry Borden - CFUG,05/05/2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,,,,,45.5,0.05,0.05,0.02,0.02,10,0.02,0.01,0.02,0.08,0.01,,,,,,0.1,4.44,6.06,0.01,,14,,,,,11.85,,0.005,0.005,161,5,0.02,0.01,0.005,,5,,0.03,,,17.5,,36,,10,0.02,0.003,3.73,0.05,0.056,0.02,0.02,,0.01,,,0.08,,,0.046,0.0002,0.16,0.03,1,1.3,0.2,0.01,0.01,53730,7.7,0.02,234,1.8,,1,0.14,0.08,,5.03,84,,84,,,22.9,28.6,,,,10,,,,2.52,0.01,,,,,10,,7.43,,,,
CUBATAO,CFUG02900,Rede Básica,07 - BAIXADA SANTISTA,208,Canal de Fuga II da UHE Henry Borden - CFUG,07/27/2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,,,,,41.9,0.05,0.055,0.02,0.01,10,0.015,0.01,0.015,0.08,0.015,,,,,,0.1,4.57,5.78,0.01,,12.8,,,,,47.35,,0.005,0.005,151,5,0.015,0.01,0.005,,5,,0.015,,,38.4,,13,,10,0.02,0.003,0.48,0.05,0.085,0.02,0.02,,0.02,,,0.08,,,0.035,0.0002,0.16,0.03,1,1,0.2,0.01,0.01,130160,7.6,0.02,348,4.79,,1,0.05,0.08,,17.1,126,,126,,,18.8,26.3,,,,10,,,,5.91,0.01,,,,,10,,7,,,,
CUBATAO,CFUG02900,Rede Básica,07 - BAIXADA SANTISTA,208,Canal de Fuga II da UHE Henry Borden - CFUG,09/08/2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.6,4.63,,,12.5,,,,,,,,,151,,,,,,5,,,,,,,69,,,,,,,,,,,0.012,,,,,,,,,,1,1,0.2,0.018,,,8.5,,,,,1,,,,,128,,132,,,19.5,24.4,,,,,,,,6.36,,,,,,,,5.94,,,,
CUBATAO,CFUG02900,Rede Básica,07 - BAIXADA SANTISTA,208,Canal de Fuga II da UHE Henry Borden - CFUG,11/16/2016,2.5,2.5,10,2.5,2.5,2.5,5,5,2.5,10,5,2.5,,10,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,,,,,,0.02,,,,,32.7,0.07,0.11,0.02,0.01,2.5,0.015,0.01,0.015,0.08,0.015,,2.5,10,2.5,10,0.1,4.36,4.6,0.01,,10.4,2.5,2.5,2.5,,19.05,2.5,0.005,0.005,115,10,0.015,0.01,0.005,,5,,0.015,2.5,10,31.1,,236,5,2.5,0.02,0.003,1.77,0.05,0.087,0.02,0.02,,0.007,,5,0.08,2.5,,0.036,0.0002,0.2,0.03,1,1,0.2,0.01,0.01,94980,7.1,0.02,341,3.18,,1,0.02,0.08,,9.95,58,,120,,,20,27.4,2,2.5,,2,2.5,,,2.49,0.01,2.5,5,2.5,2.5,2.5,2.5,7.11,2.5,2.5,2.5,
CUBATAO,CFUG02900,Rede Básica,07 - BAIXADA SANTISTA,208,Canal de Fuga II da UHE Henry Borden - CFUG,01/26/2017,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.05,1,,0.05,,0.02,0.05,,,,47.2,0.059,0.079,0.02,0.01,1,0.015,0.01,0.015,0.08,0.015,,1,1,1,1,0.1,4.78,6.83,0.01,,14.1,1,1,1,,38.39,1,0.005,0.005,155,5,0.015,0.01,0.005,15.2,5,,0.015,1,1,45.7,,16,1,1,0.02,0.003,4.13,0.081,0.3,0.02,0.02,0.17,0.024,,1,0.08,1,1.92,0.13,0.0002,0.45,0.03,1,1,0.13,0.024,0.01,120530,7.9,0.02,299,4.77,,1,0.02,0.08,6.81,17.4,116,,194,,,24.5,27.6,1,,1,1,,1,,5.77,0.01,1,1,1,1,1,1,6.33,1,1,1,
CUBATAO,CFUG02900,Rede Básica,07 - BAIXADA SANTISTA,208,Canal de Fuga II da UHE Henry Borden - CFUG,03/28/2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.14,6.39,,,12.5,,,,,,,,,142,,,,,,5,,,,,,,9,,,,,,,,,,0.17,0.014,,,,,,,,,,1,1,0.29,0.13,,,7.3,,,,,1,,,5.37,,50,,68,,,23.7,26,,,,,,,,2.5,,,,,,,,6.84,,,,
CUBATAO,CFUG02900,Rede Básica,07 - BAIXADA SANTISTA,208,Canal de Fuga II da UHE Henry Borden - CFUG,05/23/2017,,,,,,,,,,,,,,,,,,,,,,,,0.05,,,0.05,,0.02,0.05,,,,40.9,0.05,0.05,0.02,0.01,10,0.015,0.01,0.015,0.08,0.015,,,,,,0.1,3.89,5.07,0.01,,12.7,,,,,13.37,,0.005,0.005,139,5,0.015,0.01,0.001,11.2,5,,0.015,,,34.8,,33,,10,0.02,0.003,2.85,0.05,0.086,0.02,0.02,0.17,0.013,,,0.08,,1.69,0.055,0.001,0.2,0.03,1,1.3,0.38,0.013,0.01,34250,8.8,0.02,147,4.13,,1,0.04,0.08,6.34,11.9,94,,102,,,20.4,21.8,,,,10,,,,2.7,0.01,,,,,10,,6.79,,,,
CUBATAO,CFUG02900,Rede Básica,07 - BAIXADA SANTISTA,208,Canal de Fuga II da UHE Henry Borden - CFUG,07/25/2017,,,,,,,,,,,,,,,,,,,,,,,,0.05,,,0.05,,0.02,0.05,,,,38.7,0.08,0.11,0.02,0.01,10,0.015,0.01,0.015,0.08,0.015,,,,,,0.26,3.8,6.33,0.01,,13.8,,,,,25.73,,0.005,0.005,122,5,0.015,0.01,0.001,11.2,5,,0.015,,,33.6,,80,,10,0.02,0.003,1.64,0.05,0.12,0.02,0.02,0.2,0.011,,,0.08,,1.39,0.026,0.001,0.21,0.03,1,1,0.25,0.013,0.01,40555,10.3,0.02,262,3.99,,1,0.02,0.08,11.4,12.3,87,,96,,,18.2,21.4,,,,10,,,,2.25,0.01,,,,,10,,6.92,,,,
CUBATAO,CFUG02900,Rede Básica,07 - BAIXADA SANTISTA,208,Canal de Fuga II da UHE Henry Borden - CFUG,09/27/2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.23,5.93,,,12,,,,,,,,,131,,,,,,5,,,,,,,15,,,,,,,,,,0.14,0.007,,,,,,,,,,1,1,0.11,0.01,,,7.9,,,,,1,,,6.76,,126,,220,,,21.1,24.9,,,,,,,,4.35,,,,,,,,7.88,,,,
CUBATAO,CFUG02900,Rede Básica,07 - BAIXADA SANTISTA,208,Canal de Fuga II da UHE Henry Borden - CFUG,11/30/2017,2.5,2.5,10,2.5,2.5,2.5,5,5,2.5,10,5,2.5,,10,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,0.05,,,0.05,,0.02,0.05,,,,38.3,0.1,0.1,0.02,0.01,2.5,0.015,0.01,0.015,0.08,0.015,,2.5,10,2.5,10,0.02,5.46,6.32,0.01,,12.7,2.5,2.5,2.5,,20.38,2.5,0.005,0.005,146,5,0.015,0.05,0.001,11,5,,0.015,2.5,10,35,,18,5,2.5,0.02,0.003,2.77,0.3,0.3,0.02,0.02,0.2,0.02,,5,0.08,2.5,2,0.1,0.0001,0.18,0.03,1,1,0.13,0.023,0.02,47990,8.6,0.02,360,3,,1,0.04,0.08,7.66,10,100,,190,,,22.6,25.5,2,2.5,,2,2.5,,,2.15,0.1,2.5,5,2.5,2.5,2.5,2.5,8.02,2.5,2.5,2.5,
CUBATAO,CFUG02900,Rede Básica,07 - BAIXADA SANTISTA,208,Canal de Fuga II da UHE Henry Borden - CFUG,01/10/2018,2.5,2.5,10,2.5,2.5,2.5,5,5,2.5,10,5,2.5,,10,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,0.05,,,0.05,,0.02,0.05,,,,41.9,0.081,0.081,0.02,0.01,2.5,0.015,0.01,0.015,0.08,0.015,,2.5,10,2.5,10,0.1,5.25,6.57,0.01,,13,2.5,2.5,2.5,,15.37,2.5,0.005,0.005,139,5,0.015,0.01,0.001,11.6,5,,0.015,2.5,10,36.1,,112,5,2.5,0.02,0.003,4.04,0.05,0.076,0.02,0.02,0.19,0.015,0.1,5,0.08,2.5,1.73,0.048,0.001,0.18,0.03,1,1,0.14,0.01,0.01,67970,7.2,0.02,322,3.88,,1,0.14,0.08,9.35,12.8,140,,390,,,24,27.7,2,2.5,,2,2.5,,,2.54,0.01,2.5,5,2.5,2.5,2.5,2.5,7.7,2.5,2.5,2.5,
CUBATAO,CFUG02900,Rede Básica,07 - BAIXADA SANTISTA,208,Canal de Fuga II da UHE Henry Borden - CFUG,03/07/2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.03,7.2,,,12.3,,,,,,,,,127,,,,,,5,,,,,,,13,,,,,,,,,,0.15,0.007,0.1,,,,,,,,,1,1,0.16,0.01,,,8,,,,,1,,,7.08,,74,,88,,,25.3,28.7,,,,,,,,2.28,,,,,,,,7.01,,,,
